"index","Country/Region/World","ISO","Sex","Year","Mean systolic blood pressure (mmHg)","Mean diastolic blood pressure (mmHg)","Prevalence of raised blood pressure","blood_pressure"
369,"Australia","AUS","Men",1975,133.5526235,81.15045089,0.408423699,"High Blood Pressure"
370,"Australia","AUS","Men",1976,133.4163304,81.11844109,0.404579367,"High Blood Pressure"
371,"Australia","AUS","Men",1977,133.2727108,81.08355751,0.400643357,"High Blood Pressure"
372,"Australia","AUS","Men",1978,133.1247588,81.04357634,0.396638258,"High Blood Pressure"
373,"Australia","AUS","Men",1979,132.961054,80.99360937,0.392337757,"High Blood Pressure"
374,"Australia","AUS","Men",1980,132.7814073,80.92721688,0.387592276,"High Blood Pressure"
375,"Australia","AUS","Men",1981,132.5830723,80.84459793,0.382469217,"High Blood Pressure"
376,"Australia","AUS","Men",1982,132.3700251,80.75068435,0.377038993,"High Blood Pressure"
377,"Australia","AUS","Men",1983,132.1443357,80.64504451,0.371327089,"High Blood Pressure"
378,"Australia","AUS","Men",1984,131.9014059,80.52358045,0.365226024,"High Blood Pressure"
379,"Australia","AUS","Men",1985,131.6451128,80.38633103,0.358778347,"High Blood Pressure"
380,"Australia","AUS","Men",1986,131.3872621,80.23938032,0.352167261,"High Blood Pressure"
381,"Australia","AUS","Men",1987,131.1367463,80.08461617,0.345612903,"High Blood Pressure"
382,"Australia","AUS","Men",1988,130.8921719,79.92371613,0.339177136,"Elevated"
383,"Australia","AUS","Men",1989,130.6585305,79.75550491,0.332903446,"Elevated"
384,"Australia","AUS","Men",1990,130.4348076,79.57914293,0.326874266,"Elevated"
385,"Australia","AUS","Men",1991,130.2152348,79.39230751,0.320982479,"Elevated"
386,"Australia","AUS","Men",1992,130.0033022,79.1970695,0.315229366,"Elevated"
387,"Australia","AUS","Men",1993,129.7902969,78.99446353,0.309557801,"Elevated"
388,"Australia","AUS","Men",1994,129.5727705,78.7826097,0.303997157,"Elevated"
389,"Australia","AUS","Men",1995,129.3462801,78.56259538,0.298467497,"Elevated"
390,"Australia","AUS","Men",1996,129.1056484,78.33405055,0.292844219,"Elevated"
