"Country/Region/World","average_chol","cholesterol_level_category"
"Greenland",5.630404021307696,"Borderline High"
"Lithuania",5.5772242156025635,"Borderline High"
"Malta",5.534489786243588,"Borderline High"
"Norway",5.514896603666669,"Borderline High"
"Germany",5.513353917858976,"Borderline High"
"Switzerland",5.495119046141024,"Borderline High"
"Andorra",5.476005317320513,"Borderline High"
"Austria",5.470464521179488,"Borderline High"
"Latvia",5.4651101688333314,"Borderline High"
"France",5.4373419927179505,"Borderline High"
"Czech Republic",5.434284546256411,"Borderline High"
"United Kingdom",5.432536741243589,"Borderline High"
"Serbia",5.415772141717949,"Borderline High"
"Iceland",5.4143968415,"Borderline High"
"Luxembourg",5.410460251820512,"Borderline High"
"Finland",5.4006940043205125,"Borderline High"
"New Zealand",5.393378204589744,"Borderline High"
"Sweden",5.376877876948718,"Borderline High"
"Croatia",5.362658514538462,"Borderline High"
"Denmark",5.359645813615386,"Borderline High"
"Bulgaria",5.359391665115386,"Borderline High"
"Belgium",5.356226843089745,"Borderline High"
"Hungary",5.338068991487178,"Borderline High"
"Estonia",5.335602605641027,"Borderline High"
"Italy",5.328471739910259,"Borderline High"
"Ukraine",5.321657622987176,"Borderline High"
"Netherlands",5.3126629562564105,"Borderline High"
"Macedonia (TFYR)",5.287029618628205,"Borderline High"
"Cyprus",5.270808956333333,"Borderline High"
"Israel",5.26389078111538,"Borderline High"
"Slovakia",5.247970358153847,"Borderline High"
"Slovenia",5.23898290598718,"Borderline High"
"Montenegro",5.234972725884616,"Borderline High"
"Australia",5.226397398025641,"Borderline High"
"Spain",5.223935311692309,"Borderline High"
"Russian Federation",5.2209836502948725,"Borderline High"
"Greece",5.218728018628205,"Borderline High"
"Poland",5.2042478960897425,"Borderline High"
"Portugal",5.196229583846155,"Desirable"
"Belarus",5.172996074692308,"Desirable"
"Canada",5.1570826113205115,"Desirable"
"Ireland",5.146317451243587,"Desirable"
"Romania",5.143567801589746,"Desirable"
"Albania",5.082762486166666,"Desirable"
"Kuwait",5.078827216512819,"Desirable"
"Seychelles",5.07469210997436,"Desirable"
"Lebanon",5.022100759025642,"Desirable"
"Singapore",5.02078969955128,"Desirable"
"Moldova",5.00572852801282,"Desirable"
"United States of America",5.001261747423078,"Desirable"
"Jordan",4.963145724679486,"Desirable"
"Japan",4.955197734923077,"Desirable"
"Bermuda",4.949065463012821,"Desirable"
"Bosnia and Herzegovina",4.948092774282051,"Desirable"
"Cook Islands",4.925747432320514,"Desirable"
"Uruguay",4.924979742884615,"Desirable"
"Malaysia",4.922215569974358,"Desirable"
