"Country/Region/World","average_chol","cholesterol_level_category"
"Greenland",5.644263610897436,"Borderline High"
"Lithuania",5.598599695974358,"Borderline High"
"Malta",5.539773551820513,"Borderline High"
"Germany",5.537850291974358,"Borderline High"
"Norway",5.526922702948718,"Borderline High"
"Latvia",5.48562067825641,"Borderline High"
"Switzerland",5.4843227338205125,"Borderline High"
"Andorra",5.473182628923076,"Borderline High"
"United Kingdom",5.456764869846156,"Borderline High"
"Czech Republic",5.45355911123077,"Borderline High"
"Austria",5.446954651589743,"Borderline High"
"Iceland",5.446370914512818,"Borderline High"
"France",5.422029636230769,"Borderline High"
"Serbia",5.420154995358975,"Borderline High"
"Luxembourg",5.414607599358973,"Borderline High"
"New Zealand",5.4027751247948705,"Borderline High"
"Finland",5.398972179128206,"Borderline High"
"Estonia",5.394453648025641,"Borderline High"
"Belgium",5.392520277435897,"Borderline High"
"Sweden",5.391516184333332,"Borderline High"
"Denmark",5.391121426487181,"Borderline High"
"Bulgaria",5.370099409153845,"Borderline High"
"Ukraine",5.358878344461539,"Borderline High"
"Croatia",5.358322605333333,"Borderline High"
"Hungary",5.341951844692308,"Borderline High"
"Israel",5.333754905153847,"Borderline High"
"Italy",5.323692812410256,"Borderline High"
"Netherlands",5.314106924512818,"Borderline High"
"Macedonia (TFYR)",5.299378481256409,"Borderline High"
"Slovakia",5.280247275410256,"Borderline High"
"Russian Federation",5.273985277564103,"Borderline High"
"Cyprus",5.262594590333334,"Borderline High"
"Slovenia",5.250135702282051,"Borderline High"
"Belarus",5.245558107846152,"Borderline High"
"Montenegro",5.2439191450000004,"Borderline High"
"Portugal",5.242709546384614,"Borderline High"
"Australia",5.235504140179489,"Borderline High"
"Spain",5.214034710743589,"Borderline High"
"Poland",5.206898357153847,"Borderline High"
"Ireland",5.183823571051284,"Desirable"
"Greece",5.1769849385128195,"Desirable"
"Canada",5.164719251692309,"Desirable"
"Romania",5.156700014358975,"Desirable"
"Seychelles",5.148395057179489,"Desirable"
"Kuwait",5.109928271102563,"Desirable"
"Albania",5.084991498384615,"Desirable"
"Moldova",5.065094039538463,"Desirable"
"Jordan",5.045903850717949,"Desirable"
"Bermuda",5.039047994102565,"Desirable"
"United States of America",5.02530039174359,"Desirable"
"Lebanon",5.024817601410256,"Desirable"
"Malaysia",5.012156137846154,"Desirable"
"Qatar",5.000953317512819,"Desirable"
"Japan",4.975064366564102,"Desirable"
"Singapore",4.971817567410255,"Desirable"
"Uruguay",4.970411790743591,"Desirable"
"Thailand",4.96288440523077,"Desirable"
"Bosnia and Herzegovina",4.954190924461538,"Desirable"
"Colombia",4.941898443461539,"Desirable"
"Cook Islands",4.938030776564101,"Desirable"
"Brunei Darussalam",4.932287004769231,"Desirable"
"United Arab Emirates",4.9314513854358974,"Desirable"
"Chile",4.927479369589744,"Desirable"
"Costa Rica",4.922145753974358,"Desirable"
"Ecuador",4.91971616323077,"Desirable"
"Bahrain",4.913668788435898,"Desirable"
"Nauru",4.908773519256413,"Desirable"
"French Polynesia",4.902757380076922,"Desirable"
"Brazil",4.888818167282052,"Desirable"
"Puerto Rico",4.885781526307694,"Desirable"
"Bahamas",4.882036154102565,"Desirable"
"Argentina",4.881852730102564,"Desirable"
"Iran",4.866749671384613,"Desirable"
"Iraq",4.8649100676153845,"Desirable"
"China (Hong Kong SAR)",4.864056746538461,"Desirable"
"Marshall Islands",4.856360306358975,"Desirable"
"American Samoa",4.84639502051282,"Desirable"
"Mexico",4.833483151564103,"Desirable"
"Fiji",4.832069511871794,"Desirable"
"Venezuela",4.825090643307692,"Desirable"
"Mauritius",4.8247195819487185,"Desirable"
"Occupied Palestinian Territory",4.8186012130769225,"Desirable"
"Honduras",4.806444951384615,"Desirable"
"Oman",4.8047674953333335,"Desirable"
"Dominica",4.793762020410256,"Desirable"
"Panama",4.793614787794873,"Desirable"
"Philippines",4.7904132446923064,"Desirable"
"Palau",4.783626478,"Desirable"
"South Korea",4.77959957876923,"Desirable"
"Dominican Republic",4.764838831307693,"Desirable"
"Taiwan",4.759563045743589,"Desirable"
"Tokelau",4.7545500403076915,"Desirable"
"El Salvador",4.718555322538462,"Desirable"
"Mongolia",4.713058670487179,"Desirable"
"Samoa",4.711971671948718,"Desirable"
"Peru",4.707065745794871,"Desirable"
"North Korea",4.706776116076924,"Desirable"
"Trinidad and Tobago",4.705689180615384,"Desirable"
"Suriname",4.704609989846154,"Desirable"
"Cuba",4.703468573128205,"Desirable"
"Tonga",4.703449226205129,"Desirable"
"Paraguay",4.689356825897434,"Desirable"
"Syrian Arab Republic",4.683282944384615,"Desirable"
"Turkey",4.682952330435897,"Desirable"
"Saudi Arabia",4.6816006292051275,"Desirable"
"Libya",4.677805876282051,"Desirable"
"Guyana",4.671053089564105,"Desirable"
"Jamaica",4.663834735153846,"Desirable"
"Egypt",4.662590824820514,"Desirable"
"Tuvalu",4.638115829589743,"Desirable"
