"Country/Region/World","average_chol","cholesterol_level_category"
"Greenland",5.616544431717949,"Borderline High"
"Lithuania",5.555848735230769,"Borderline High"
"Malta",5.529206020666665,"Borderline High"
"Switzerland",5.505915358461537,"Borderline High"
"Norway",5.502870504384616,"Borderline High"
"Austria",5.49397439076923,"Borderline High"
"Germany",5.48885754374359,"Borderline High"
"Andorra",5.478828005717948,"Borderline High"
"France",5.452654349205129,"Borderline High"
"Latvia",5.4445996594102555,"Borderline High"
"Czech Republic",5.41500998128205,"Borderline High"
"Serbia",5.411389288076925,"Borderline High"
"United Kingdom",5.408308612641027,"Borderline High"
"Luxembourg",5.406312904282051,"Borderline High"
"Finland",5.402415829512821,"Borderline High"
"New Zealand",5.383981284384616,"Borderline High"
"Iceland",5.382422768487179,"Borderline High"
"Croatia",5.36699442374359,"Borderline High"
"Sweden",5.362239569564103,"Borderline High"
"Bulgaria",5.348683921076924,"Borderline High"
"Hungary",5.3341861382820515,"Borderline High"
"Italy",5.333250667410256,"Borderline High"
"Denmark",5.328170200743589,"Borderline High"
"Belgium",5.319933408743589,"Borderline High"
"Netherlands",5.311218988000001,"Borderline High"
"Ukraine",5.284436901512819,"Borderline High"
"Cyprus",5.279023322333333,"Borderline High"
"Estonia",5.276751563256411,"Borderline High"
"Macedonia (TFYR)",5.274680756,"Borderline High"
"Greece",5.260471098743589,"Borderline High"
"Spain",5.233835912641027,"Borderline High"
"Slovenia",5.227830109692309,"Borderline High"
"Montenegro",5.226026306769231,"Borderline High"
"Australia",5.2172906558717935,"Borderline High"
"Slovakia",5.215693440897438,"Borderline High"
"Poland",5.201597435025641,"Borderline High"
"Israel",5.194026657076922,"Desirable"
"Russian Federation",5.1679820230256395,"Desirable"
"Portugal",5.14974962130769,"Desirable"
"Canada",5.149445970948716,"Desirable"
"Romania",5.1304355888205135,"Desirable"
"Ireland",5.108811331435896,"Desirable"
"Belarus",5.1004340415384615,"Desirable"
"Albania",5.080533473948717,"Desirable"
"Singapore",5.0697618316923085,"Desirable"
"Kuwait",5.047726161923077,"Desirable"
"Lebanon",5.019383916641027,"Desirable"
"Seychelles",5.000989162769233,"Desirable"
"United States of America",4.977223103102564,"Desirable"
"Moldova",4.9463630164871795,"Desirable"
"Bosnia and Herzegovina",4.9419946241025645,"Desirable"
"Japan",4.935331103282051,"Desirable"
"Mauritius",4.929031438538461,"Desirable"
"Fiji",4.928212299128205,"Desirable"
"Cook Islands",4.913464088076925,"Desirable"
"China (Hong Kong SAR)",4.893730012307692,"Desirable"
"Argentina",4.889695988410257,"Desirable"
"Jordan",4.880387598641025,"Desirable"
"Uruguay",4.87954769502564,"Desirable"
"Chile",4.860081487410256,"Desirable"
"Bermuda",4.859082931923077,"Desirable"
"Brunei Darussalam",4.84420416151282,"Desirable"
"Ecuador",4.844043720615384,"Desirable"
"Tonga",4.8402718727692315,"Desirable"
"Malaysia",4.832275002102564,"Desirable"
"French Polynesia",4.810080078692307,"Desirable"
"Costa Rica",4.805591255615385,"Desirable"
"Colombia",4.805464954846153,"Desirable"
"Nauru",4.798502327461539,"Desirable"
"South Korea",4.797998658230769,"Desirable"
"Puerto Rico",4.792570830512821,"Desirable"
"Thailand",4.789448934153846,"Desirable"
"Iraq",4.785645193820513,"Desirable"
"Mexico",4.782304413025642,"Desirable"
"Honduras",4.7762035537179495,"Desirable"
"Bahrain",4.76544966651282,"Desirable"
"United Arab Emirates",4.761665987102563,"Desirable"
