"index","Country/Region/World","ISO","Sex","Year","Age-standardised diabetes prevalence"
315,"Australia","AUS","Men",1980,0.056271396
316,"Australia","AUS","Men",1981,0.056507147
317,"Australia","AUS","Men",1982,0.056814489
318,"Australia","AUS","Men",1983,0.057110668
319,"Australia","AUS","Men",1984,0.057446587
320,"Australia","AUS","Men",1985,0.05779829
321,"Australia","AUS","Men",1986,0.058140982
322,"Australia","AUS","Men",1987,0.058487554
323,"Australia","AUS","Men",1988,0.058901155
324,"Australia","AUS","Men",1989,0.059359512
325,"Australia","AUS","Men",1990,0.05986416
326,"Australia","AUS","Men",1991,0.06043976
327,"Australia","AUS","Men",1992,0.06107224
328,"Australia","AUS","Men",1993,0.061782514
329,"Australia","AUS","Men",1994,0.062560046
330,"Australia","AUS","Men",1995,0.063380834
331,"Australia","AUS","Men",1996,0.064192224
332,"Australia","AUS","Men",1997,0.064957153
333,"Australia","AUS","Men",1998,0.065668212
334,"Australia","AUS","Men",1999,0.066315843
335,"Australia","AUS","Men",2000,0.066866287
336,"Australia","AUS","Men",2001,0.067285481
337,"Australia","AUS","Men",2002,0.067656023
338,"Australia","AUS","Men",2003,0.067935515
339,"Australia","AUS","Men",2004,0.068131801
340,"Australia","AUS","Men",2005,0.068207418
341,"Australia","AUS","Men",2006,0.068215195
342,"Australia","AUS","Men",2007,0.068214155
343,"Australia","AUS","Men",2008,0.068192033
344,"Australia","AUS","Men",2009,0.068136192
345,"Australia","AUS","Men",2010,0.068052801
346,"Australia","AUS","Men",2011,0.067950232
347,"Australia","AUS","Men",2012,0.067884043
348,"Australia","AUS","Men",2013,0.067859691
349,"Australia","AUS","Men",2014,0.067891865
7315,"Australia","AUS","Women",1980,0.042421033
7316,"Australia","AUS","Women",1981,0.042563287
7317,"Australia","AUS","Women",1982,0.042782594
7318,"Australia","AUS","Women",1983,0.043010736
7319,"Australia","AUS","Women",1984,0.043302848
7320,"Australia","AUS","Women",1985,0.043635627
7321,"Australia","AUS","Women",1986,0.043969375
7322,"Australia","AUS","Women",1987,0.04430213
7323,"Australia","AUS","Women",1988,0.044653187
7324,"Australia","AUS","Women",1989,0.045027132
7325,"Australia","AUS","Women",1990,0.045400999
7326,"Australia","AUS","Women",1991,0.045791953
7327,"Australia","AUS","Women",1992,0.046190945
7328,"Australia","AUS","Women",1993,0.046636963
7329,"Australia","AUS","Women",1994,0.047118212
7330,"Australia","AUS","Women",1995,0.047612383
7331,"Australia","AUS","Women",1996,0.048109332
7332,"Australia","AUS","Women",1997,0.048581431
7333,"Australia","AUS","Women",1998,0.049016961
7334,"Australia","AUS","Women",1999,0.049416883
7335,"Australia","AUS","Women",2000,0.04976913
7336,"Australia","AUS","Women",2001,0.050035083
7337,"Australia","AUS","Women",2002,0.050238728
7338,"Australia","AUS","Women",2003,0.0503704
7339,"Australia","AUS","Women",2004,0.050436178
7340,"Australia","AUS","Women",2005,0.0504063
7341,"Australia","AUS","Women",2006,0.050340142
7342,"Australia","AUS","Women",2007,0.050254207
7343,"Australia","AUS","Women",2008,0.050181833
7344,"Australia","AUS","Women",2009,0.050116893
7345,"Australia","AUS","Women",2010,0.050057408
7346,"Australia","AUS","Women",2011,0.050006637
7347,"Australia","AUS","Women",2012,0.049967604
7348,"Australia","AUS","Women",2013,0.049962907
7349,"Australia","AUS","Women",2014,0.049997449
