"Country/Region/World","average_hdl_chol","cholesterol_hdl_level_category"
"Greenland",1.505894664192308,"Desirable"
"Austria",1.492208012141026,"Desirable"
"Japan",1.4918816417948715,"Desirable"
"Germany",1.487686046538461,"Desirable"
"Luxembourg",1.4847619353846147,"Desirable"
"Czech Republic",1.4372223599871792,"Desirable"
"Latvia",1.432001005769231,"Desirable"
"Croatia",1.427478293269231,"Desirable"
"Ireland",1.4250752654871792,"Desirable"
"Poland",1.4223859386282052,"Desirable"
"France",1.4177546801410255,"Desirable"
"Lithuania",1.4162790757179486,"Desirable"
"Sweden",1.4146013478846153,"Desirable"
"Denmark",1.4125480865128206,"Desirable"
"Switzerland",1.4115474811410256,"Desirable"
"Finland",1.4103706914358973,"Desirable"
"Norway",1.4038594597307688,"Desirable"
"Montenegro",1.3963558818589745,"Desirable"
"Serbia",1.3952621216410255,"Desirable"
"United Kingdom",1.390706967128205,"Desirable"
"Iceland",1.3891718300256408,"Desirable"
"Bulgaria",1.3856423997179492,"Desirable"
"Italy",1.3854190220641023,"Desirable"
"Slovenia",1.3853850827948722,"Desirable"
"Belgium",1.3835642836538464,"Desirable"
"Macedonia (TFYR)",1.382821621192308,"Desirable"
"Greece",1.3795364282948712,"Desirable"
"Spain",1.3790682863076926,"Desirable"
"Portugal",1.3782463713846156,"Desirable"
"Ukraine",1.376743366525641,"Desirable"
"Albania",1.3743616709871798,"Desirable"
"Taiwan",1.3736111413717949,"Desirable"
"Slovakia",1.3730986786153845,"Desirable"
"Australia",1.3716716132692313,"Desirable"
"Estonia",1.3694247967179483,"Desirable"
"Cyprus",1.3645745362948725,"Desirable"
"Malta",1.3637148874102567,"Desirable"
"Russian Federation",1.3590738871666668,"Desirable"
"Moldova",1.3551360932948715,"Desirable"
"Andorra",1.3547341152179488,"Desirable"
"Romania",1.3542080737564102,"Desirable"
"Belarus",1.3521981307179487,"Desirable"
"Bosnia and Herzegovina",1.3426660821025638,"Desirable"
"Canada",1.3418679291923081,"Desirable"
"Netherlands",1.3412854457435894,"Desirable"
"United States of America",1.3407951904743591,"Desirable"
"Hungary",1.3403924785128207,"Desirable"
"Seychelles",1.3284773741153844,"Desirable"
"China (Hong Kong SAR)",1.3198186360769233,"Desirable"
"New Zealand",1.308356078128205,"Desirable"
"Mongolia",1.3053378081153846,"Desirable"
"China",1.2870901999487177,"Desirable"
"North Korea",1.285826530782052,"Desirable"
"Zimbabwe",1.2829338684358973,"Desirable"
"Mauritius",1.2821997686410254,"Desirable"
"Guyana",1.2562551662692314,"Desirable"
"South Korea",1.2416345704615388,"Desirable"
"Malaysia",1.2380586606666661,"Desirable"
"Israel",1.2361473374871796,"Desirable"
"Botswana",1.2345744464743587,"Desirable"
"Turkmenistan",1.229134018307692,"Desirable"
"Thailand",1.228222579371795,"Desirable"
"South Africa",1.2270051905897439,"Desirable"
"Namibia",1.2142012118076926,"Desirable"
"Swaziland",1.2131759908461546,"Desirable"
"Jamaica",1.2058457748589744,"Desirable"
"Haiti",1.20089043825641,"Desirable"
"Dominican Republic",1.2000888918974362,"Desirable"
"Saint Vincent and the Grenadines",1.1979543502564107,"Desirable"
"Brazil",1.1974645427948718,"Desirable"
"Dominica",1.1966602551666665,"Desirable"
"Belize",1.1896465090128203,"Desirable"
"Qatar",1.1876906261923073,"Desirable"
"Grenada",1.1875751656923073,"Desirable"
"Saint Lucia",1.1870317074999999,"Desirable"
"Saint Kitts and Nevis",1.1857915634358973,"Desirable"
"Trinidad and Tobago",1.1852562166538463,"Desirable"
"Antigua and Barbuda",1.1848544193205128,"Desirable"
"Puerto Rico",1.1831709401794877,"Desirable"
"Bahamas",1.1824386262179487,"Desirable"
"Ecuador",1.1773341239358974,"Desirable"
"Bermuda",1.1767991421538464,"Desirable"
"Kazakhstan",1.1743899752820515,"Desirable"
"Lesotho",1.1706436630897437,"Desirable"
"Paraguay",1.1677896965128207,"Desirable"
"Tokelau",1.1674323173717949,"Desirable"
"Bhutan",1.1663429696410255,"Desirable"
"Cuba",1.1659340281538464,"Desirable"
"Brunei Darussalam",1.1656212965512824,"Desirable"
"Uruguay",1.164405719807693,"Desirable"
"Oman",1.1610185685769228,"Desirable"
"Singapore",1.1599663335897434,"Desirable"
"Saudi Arabia",1.1568401049230777,"Desirable"
"Honduras",1.1525516131410258,"Desirable"
"Samoa",1.150985005397436,"Desirable"
"Chile",1.1465355600769231,"Desirable"
"Kyrgyzstan",1.1383297480512817,"Desirable"
