"index","Country","Year","Average_Obesity_Rate","Min","Max","Sex"
1010,"Australia",1975,0.114,0.076,0.152,"Female"
1013,"Australia",1976,0.117,0.08,0.154,"Female"
1016,"Australia",1977,0.12,0.083,0.156,"Female"
1019,"Australia",1978,0.122,0.087,0.157,"Female"
1022,"Australia",1979,0.124,0.09,0.158,"Female"
1025,"Australia",1980,0.127,0.094,0.16,"Female"
1028,"Australia",1981,0.13,0.098,0.162,"Female"
1031,"Australia",1982,0.133,0.101,0.165,"Female"
1034,"Australia",1983,0.136,0.104,0.167,"Female"
1037,"Australia",1984,0.139,0.108,0.169,"Female"
1040,"Australia",1985,0.142,0.111,0.172,"Female"
1043,"Australia",1986,0.146,0.115,0.176,"Female"
1046,"Australia",1987,0.149,0.118,0.179,"Female"
1049,"Australia",1988,0.152,0.122,0.182,"Female"
1052,"Australia",1989,0.156,0.126,0.186,"Female"
1055,"Australia",1990,0.16,0.13,0.19,"Female"
1058,"Australia",1991,0.164,0.133,0.194,"Female"
1061,"Australia",1992,0.168,0.137,0.199,"Female"
1064,"Australia",1993,0.172,0.141,0.203,"Female"
1067,"Australia",1994,0.176,0.145,0.207,"Female"
1070,"Australia",1995,0.181,0.15,0.212,"Female"
1073,"Australia",1996,0.186,0.154,0.217,"Female"
1076,"Australia",1997,0.191,0.159,0.222,"Female"
1079,"Australia",1998,0.195,0.163,0.227,"Female"
1082,"Australia",1999,0.201,0.168,0.233,"Female"
1085,"Australia",2000,0.206,0.173,0.238,"Female"
1088,"Australia",2001,0.211,0.178,0.243,"Female"
1091,"Australia",2002,0.216,0.183,0.248,"Female"
1094,"Australia",2003,0.221,0.188,0.254,"Female"
1097,"Australia",2004,0.226,0.193,0.259,"Female"
1100,"Australia",2005,0.231,0.197,0.265,"Female"
1103,"Australia",2006,0.237,0.202,0.271,"Female"
1106,"Australia",2007,0.241,0.206,0.276,"Female"
1109,"Australia",2008,0.246,0.21,0.282,"Female"
1112,"Australia",2009,0.251,0.214,0.288,"Female"
1115,"Australia",2010,0.256,0.217,0.295,"Female"
1118,"Australia",2011,0.261,0.22,0.301,"Female"
1121,"Australia",2012,0.265,0.223,0.307,"Female"
1124,"Australia",2013,0.27,0.225,0.315,"Female"
1127,"Australia",2014,0.275,0.228,0.322,"Female"
1130,"Australia",2015,0.281,0.23,0.331,"Female"
1133,"Australia",2016,0.285,0.231,0.339,"Female"
1009,"Australia",1975,0.101,0.062,0.139,"Male"
1012,"Australia",1976,0.103,0.066,0.14,"Male"
1015,"Australia",1977,0.106,0.07,0.141,"Male"
1018,"Australia",1978,0.108,0.073,0.142,"Male"
1021,"Australia",1979,0.111,0.077,0.144,"Male"
1024,"Australia",1980,0.113,0.08,0.146,"Male"
1027,"Australia",1981,0.116,0.083,0.148,"Male"
1030,"Australia",1982,0.119,0.087,0.151,"Male"
1033,"Australia",1983,0.122,0.09,0.153,"Male"
1036,"Australia",1984,0.125,0.094,0.156,"Male"
1039,"Australia",1985,0.129,0.097,0.16,"Male"
1042,"Australia",1986,0.132,0.101,0.163,"Male"
1045,"Australia",1987,0.136,0.104,0.167,"Male"
1048,"Australia",1988,0.14,0.108,0.171,"Male"
1051,"Australia",1989,0.144,0.112,0.176,"Male"
1054,"Australia",1990,0.148,0.116,0.18,"Male"
1057,"Australia",1991,0.153,0.12,0.185,"Male"
1060,"Australia",1992,0.157,0.124,0.19,"Male"
1063,"Australia",1993,0.162,0.129,0.195,"Male"
1066,"Australia",1994,0.167,0.134,0.2,"Male"
1069,"Australia",1995,0.173,0.139,0.206,"Male"
1072,"Australia",1996,0.178,0.144,0.212,"Male"
1075,"Australia",1997,0.183,0.149,0.217,"Male"
1078,"Australia",1998,0.189,0.154,0.223,"Male"
1081,"Australia",1999,0.194,0.159,0.228,"Male"
1084,"Australia",2000,0.2,0.165,0.234,"Male"
1087,"Australia",2001,0.206,0.171,0.24,"Male"
1090,"Australia",2002,0.212,0.177,0.246,"Male"
1093,"Australia",2003,0.217,0.182,0.252,"Male"
1096,"Australia",2004,0.223,0.188,0.258,"Male"
1099,"Australia",2005,0.23,0.194,0.265,"Male"
1102,"Australia",2006,0.235,0.199,0.271,"Male"
1105,"Australia",2007,0.241,0.204,0.278,"Male"
1108,"Australia",2008,0.247,0.209,0.285,"Male"
1111,"Australia",2009,0.253,0.214,0.292,"Male"
1114,"Australia",2010,0.26,0.219,0.3,"Male"
1117,"Australia",2011,0.266,0.224,0.307,"Male"
1120,"Australia",2012,0.272,0.228,0.316,"Male"
1123,"Australia",2013,0.279,0.232,0.325,"Male"
1126,"Australia",2014,0.285,0.236,0.334,"Male"
1129,"Australia",2015,0.291,0.239,0.343,"Male"
1132,"Australia",2016,0.298,0.242,0.353,"Male"
