"index","Area Code","Area","Item Code","Item","Element Code","Element","Year","Unit","Value"
100187,10,"Australia",2949,"Eggs",5123,"Losses",2018,"1000 tonnes",3
100188,10,"Australia",2949,"Eggs",5123,"Losses",2019,"1000 tonnes",3
100189,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2010,"1000 tonnes",0
100190,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2011,"1000 tonnes",0
100191,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2012,"1000 tonnes",0
100192,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2013,"1000 tonnes",0
100193,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2014,"1000 tonnes",0
100194,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2015,"1000 tonnes",0
100195,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2016,"1000 tonnes",0
100196,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2017,"1000 tonnes",0
100197,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2018,"1000 tonnes",0
100198,10,"Australia",2949,"Eggs",5154,"Other uses (non-food)",2019,"1000 tonnes",0
100199,10,"Australia",2949,"Eggs",5170,"Residuals",2010,"1000 tonnes",0
100200,10,"Australia",2949,"Eggs",5170,"Residuals",2011,"1000 tonnes",0
100201,10,"Australia",2949,"Eggs",5170,"Residuals",2012,"1000 tonnes",0
100202,10,"Australia",2949,"Eggs",5170,"Residuals",2013,"1000 tonnes",0
100203,10,"Australia",2949,"Eggs",5170,"Residuals",2014,"1000 tonnes",0
100204,10,"Australia",2949,"Eggs",5170,"Residuals",2015,"1000 tonnes",0
100205,10,"Australia",2949,"Eggs",5170,"Residuals",2016,"1000 tonnes",0
100206,10,"Australia",2949,"Eggs",5170,"Residuals",2017,"1000 tonnes",-1.0
100207,10,"Australia",2949,"Eggs",5170,"Residuals",2018,"1000 tonnes",0
100208,10,"Australia",2949,"Eggs",5170,"Residuals",2019,"1000 tonnes",0
100209,10,"Australia",2949,"Eggs",5142,"Food",2010,"1000 tonnes",142
100210,10,"Australia",2949,"Eggs",5142,"Food",2011,"1000 tonnes",167
100211,10,"Australia",2949,"Eggs",5142,"Food",2012,"1000 tonnes",174
100212,10,"Australia",2949,"Eggs",5142,"Food",2013,"1000 tonnes",195
100213,10,"Australia",2949,"Eggs",5142,"Food",2014,"1000 tonnes",189
100214,10,"Australia",2949,"Eggs",5142,"Food",2015,"1000 tonnes",186
100215,10,"Australia",2949,"Eggs",5142,"Food",2016,"1000 tonnes",193
100216,10,"Australia",2949,"Eggs",5142,"Food",2017,"1000 tonnes",200
100217,10,"Australia",2949,"Eggs",5142,"Food",2018,"1000 tonnes",208
100218,10,"Australia",2949,"Eggs",5142,"Food",2019,"1000 tonnes",210
100219,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2010,"kg",6.43
100220,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2011,"kg",7.4
100221,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2012,"kg",7.6
100222,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2013,"kg",8.39
100223,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2014,"kg",8.01
100224,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2015,"kg",7.76
100225,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2016,"kg",7.94
100226,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2017,"kg",8.13
100227,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2018,"kg",8.37
100228,10,"Australia",2949,"Eggs",645,"Food supply quantity (kg/capita/yr)",2019,"kg",8.32
100229,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2010,"kcal/capita/day",25
100230,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2011,"kcal/capita/day",28
100231,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2012,"kcal/capita/day",29
100232,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2013,"kcal/capita/day",32
100233,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2014,"kcal/capita/day",31
100234,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2015,"kcal/capita/day",30
100235,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2016,"kcal/capita/day",30
100236,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2017,"kcal/capita/day",31
100237,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2018,"kcal/capita/day",32
100238,10,"Australia",2949,"Eggs",664,"Food supply (kcal/capita/day)",2019,"kcal/capita/day",32
100239,10,"Australia",2949,"Eggs",674,"Protein supply quantity (g/capita/day)",2010,"g/capita/day",1.89
100240,10,"Australia",2949,"Eggs",674,"Protein supply quantity (g/capita/day)",2011,"g/capita/day",2.17
